"COUNTRY: {"CONTINENT", "POPULATION", "TOTAL CASES", "TOTAL DEATHS", "TOTAL TESTS"}
China: {'continent': 'Asia', 'population': 1439323776, 'cases': 83891, 'deaths': 4634, 'tests': 90410000}
Italy: {'continent': 'Europe', 'population': 60455229, 'cases': 246286, 'deaths': 35112, 'tests': 6586123}
Spain: {'continent': 'Europe', 'population': 46755958, 'cases': 319501, 'deaths': 28432, 'tests': 6320836}
USA: {'continent': 'North-America', 'population': 331139904, 'cases': 4396407, 'deaths': 150011, 'tests': 54438003}
Germany: {'continent': 'Europe', 'population': 83803229, 'cases': 207043, 'deaths': 9203, 'tests': 7418812}
Iran: {'continent': 'Asia', 'population': 84065313, 'cases': 293606, 'deaths': 15912, 'tests': 2353532}
France: {'continent': 'Europe', 'population': 65282797, 'cases': 180528, 'deaths': 30192, 'tests': 2982302}
S-Korea: {'continent': 'Asia', 'population': 51272411, 'cases': 14175, 'deaths': 299, 'tests': 1526974}
Switzerland: {'continent': 'Europe', 'population': 8659053, 'cases': 34477, 'deaths': 1978, 'tests': 764894}
UK: {'continent': 'Europe', 'population': 67911333, 'cases': 300111, 'deaths': 45759, 'tests': 14981525}
Netherlands: {'continent': 'Europe', 'population': 17137619, 'cases': 53151, 'deaths': 6141, 'tests': 851885}
Austria: {'continent': 'Europe', 'population': 9010036, 'cases': 20558, 'deaths': 713, 'tests': 853169}
Belgium: {'continent': 'Europe', 'population': 11593226, 'cases': 66026, 'deaths': 9821, 'tests': 1562934}
Norway: {'continent': 'Europe', 'population': 5424198, 'cases': 9125, 'deaths': 255, 'tests': 427651}
Sweden: {'continent': 'Europe', 'population': 10103707, 'cases': 78997, 'deaths': 5697, 'tests': 820606}
Canada: {'continent': 'North-America', 'population': 37765087, 'cases': 114175, 'deaths': 8891, 'tests': 3801950}
Denmark: {'continent': 'Europe', 'population': 5793667, 'cases': 13547, 'deaths': 613, 'tests': 1455354}
Portugal: {'continent': 'Europe', 'population': 10194483, 'cases': 50299, 'deaths': 1719, 'tests': 1528600}
Malaysia: {'continent': 'Asia', 'population': 32393909, 'cases': 8904, 'deaths': 124, 'tests': 937645}
Brazil: {'continent': 'South-America', 'population': 212665350, 'cases': 2423798, 'deaths': 87131, 'tests': 12601096}
Australia: {'continent': 'Oceania', 'population': 25519975, 'cases': 14935, 'deaths': 161, 'tests': 3977904}
Japan: {'continent': 'Asia', 'population': 126448497, 'cases': 29382, 'deaths': 996, 'tests': 715283}
Czechia: {'continent': 'Europe', 'population': 10710424, 'cases': 15421, 'deaths': 373, 'tests': 660855}
Turkey: {'continent': 'Asia', 'population': 84398593, 'cases': 226100, 'deaths': 5613, 'tests': 4572688}
Israel: {'continent': 'Asia', 'population': 9197590, 'cases': 63581, 'deaths': 474, 'tests': 1651766}
Ireland: {'continent': 'Europe', 'population': 4941543, 'cases': 25881, 'deaths': 1764, 'tests': 614784}
Diamond-Princess-: {'continent': 'None', 'population': 0, 'cases': 712, 'deaths': 11, 'tests': 0}
Luxembourg: {'continent': 'Europe', 'population': 626646, 'cases': 6321, 'deaths': 112, 'tests': 400903}
Pakistan: {'continent': 'Asia', 'population': 221166730, 'cases': 274289, 'deaths': 5842, 'tests': 1890236}
Chile: {'continent': 'South-America', 'population': 19127587, 'cases': 347923, 'deaths': 9187, 'tests': 1546097}
Poland: {'continent': 'Europe', 'population': 37843543, 'cases': 43402, 'deaths': 1676, 'tests': 2134334}
Ecuador: {'continent': 'South-America', 'population': 17660768, 'cases': 80694, 'deaths': 5515, 'tests': 225293}
Greece: {'continent': 'Europe', 'population': 10419195, 'cases': 4227, 'deaths': 202, 'tests': 451317}
Finland: {'continent': 'Europe', 'population': 5541346, 'cases': 7398, 'deaths': 329, 'tests': 339225}
Qatar: {'continent': 'Asia', 'population': 2807805, 'cases': 109597, 'deaths': 165, 'tests': 477194}
Iceland: {'continent': 'Europe', 'population': 341399, 'cases': 1847, 'deaths': 10, 'tests': 125513}
Indonesia: {'continent': 'Asia', 'population': 273721489, 'cases': 100303, 'deaths': 4838, 'tests': 1394759}
Singapore: {'continent': 'Asia', 'population': 5853551, 'cases': 50838, 'deaths': 27, 'tests': 1170049}
Thailand: {'continent': 'Asia', 'population': 69812645, 'cases': 3295, 'deaths': 58, 'tests': 685316}
Saudi-Arabia: {'continent': 'Asia', 'population': 34849613, 'cases': 268934, 'deaths': 2760, 'tests': 3056956}
Slovenia: {'continent': 'Europe', 'population': 2078959, 'cases': 2087, 'deaths': 116, 'tests': 127940}
Romania: {'continent': 'Europe', 'population': 19227859, 'cases': 45902, 'deaths': 2206, 'tests': 1110534}
India: {'continent': 'Asia', 'population': 1380937553, 'cases': 1482158, 'deaths': 33448, 'tests': 16806803}
Peru: {'continent': 'South-America', 'population': 33002511, 'cases': 384797, 'deaths': 18229, 'tests': 2230247}
Bahrain: {'continent': 'Asia', 'population': 1704881, 'cases': 39131, 'deaths': 141, 'tests': 788910}
Philippines: {'continent': 'Asia', 'population': 109678880, 'cases': 82040, 'deaths': 1945, 'tests': 1359829}
Russia: {'continent': 'Europe', 'population': 145939049, 'cases': 818120, 'deaths': 13354, 'tests': 27141966}
Estonia: {'continent': 'Europe', 'population': 1326600, 'cases': 2034, 'deaths': 69, 'tests': 117044}
Egypt: {'continent': 'Africa', 'population': 102453147, 'cases': 92062, 'deaths': 4606, 'tests': 135000}
Hong-Kong: {'continent': 'Asia', 'population': 7501216, 'cases': 2779, 'deaths': 22, 'tests': 524969}
South-Africa: {'continent': 'Africa', 'population': 59357051, 'cases': 445433, 'deaths': 6769, 'tests': 2773778}
Lebanon: {'continent': 'Asia', 'population': 6823134, 'cases': 3882, 'deaths': 51, 'tests': 268761}
Iraq: {'continent': 'Asia', 'population': 40278833, 'cases': 112585, 'deaths': 4458, 'tests': 929839}
Croatia: {'continent': 'Europe', 'population': 4103333, 'cases': 4881, 'deaths': 139, 'tests': 112834}
Mexico: {'continent': 'North-America', 'population': 129025472, 'cases': 390516, 'deaths': 43680, 'tests': 918381}
Panama: {'continent': 'North-America', 'population': 4319239, 'cases': 60296, 'deaths': 1294, 'tests': 207908}
Colombia: {'continent': 'South-America', 'population': 50918491, 'cases': 248976, 'deaths': 8525, 'tests': 1409124}
Slovakia: {'continent': 'Europe', 'population': 5459836, 'cases': 2181, 'deaths': 28, 'tests': 253691}
Kuwait: {'continent': 'Asia', 'population': 4274759, 'cases': 64379, 'deaths': 438, 'tests': 489566}
Serbia: {'continent': 'Europe', 'population': 8734718, 'cases': 24141, 'deaths': 543, 'tests': 631274}
Bulgaria: {'continent': 'Europe', 'population': 6944559, 'cases': 10427, 'deaths': 340, 'tests': 239294}
San-Marino: {'continent': 'Europe', 'population': 33936, 'cases': 699, 'deaths': 42, 'tests': 5729}
Armenia: {'continent': 'Asia', 'population': 2963645, 'cases': 37390, 'deaths': 711, 'tests': 157466}
Argentina: {'continent': 'South-America', 'population': 45224432, 'cases': 162526, 'deaths': 2956, 'tests': 647714}
Taiwan: {'continent': 'Asia', 'population': 23819907, 'cases': 462, 'deaths': 7, 'tests': 80623}
UAE: {'continent': 'Asia', 'population': 9898488, 'cases': 59177, 'deaths': 345, 'tests': 4875295}
Algeria: {'continent': 'Africa', 'population': 43902249, 'cases': 27973, 'deaths': 1163, 'tests': 0}
Latvia: {'continent': 'Europe', 'population': 1884559, 'cases': 1219, 'deaths': 31, 'tests': 191871}
Costa-Rica: {'continent': 'North-America', 'population': 5097333, 'cases': 15229, 'deaths': 104, 'tests': 79544}
Dominican-Republic: {'continent': 'North-America', 'population': 10855381, 'cases': 64156, 'deaths': 1083, 'tests': 244643}
Uruguay: {'continent': 'South-America', 'population': 3474562, 'cases': 1192, 'deaths': 34, 'tests': 103003}
Hungary: {'continent': 'Europe', 'population': 9658519, 'cases': 4448, 'deaths': 596, 'tests': 328583}
Jordan: {'continent': 'Asia', 'population': 10210096, 'cases': 1176, 'deaths': 11, 'tests': 571390}
Lithuania: {'continent': 'Europe', 'population': 2719254, 'cases': 2019, 'deaths': 80, 'tests': 504056}
Morocco: {'continent': 'Africa', 'population': 36939019, 'cases': 20278, 'deaths': 313, 'tests': 1147173}
Vietnam: {'continent': 'Asia', 'population': 97399175, 'cases': 431, 'deaths': 0, 'tests': 275000}
Bosnia-and-Herzegovina: {'continent': 'Europe', 'population': 3279260, 'cases': 10498, 'deaths': 294, 'tests': 132646}
Faeroe-Islands: {'continent': 'Europe', 'population': 48876, 'cases': 214, 'deaths': 0, 'tests': 33149}
Andorra: {'continent': 'Europe', 'population': 77274, 'cases': 907, 'deaths': 52, 'tests': 3750}
North-Macedonia: {'continent': 'Europe', 'population': 2083368, 'cases': 10213, 'deaths': 466, 'tests': 96194}
Cyprus: {'continent': 'Asia', 'population': 1207974, 'cases': 1057, 'deaths': 19, 'tests': 193712}
Brunei: {'continent': 'Asia', 'population': 437722, 'cases': 141, 'deaths': 3, 'tests': 37058}
Moldova: {'continent': 'Europe', 'population': 4033264, 'cases': 23154, 'deaths': 748, 'tests': 128076}
Sri-Lanka: {'continent': 'Asia', 'population': 21419670, 'cases': 2804, 'deaths': 11, 'tests': 153065}
Albania: {'continent': 'Europe', 'population': 2877564, 'cases': 4880, 'deaths': 144, 'tests': 34477}
Belarus: {'continent': 'Europe', 'population': 9449094, 'cases': 67251, 'deaths': 538, 'tests': 1257399}
Malta: {'continent': 'Europe', 'population': 441628, 'cases': 701, 'deaths': 9, 'tests': 120995}
Venezuela: {'continent': 'South-America', 'population': 28430130, 'cases': 15463, 'deaths': 142, 'tests': 1491737}
Burkina-Faso: {'continent': 'Africa', 'population': 20937561, 'cases': 1100, 'deaths': 53, 'tests': 0}
Tunisia: {'continent': 'Africa', 'population': 11827086, 'cases': 1455, 'deaths': 50, 'tests': 90175}
Guadeloupe: {'continent': 'North-America', 'population': 400128, 'cases': 203, 'deaths': 14, 'tests': 15235}
Senegal: {'continent': 'Africa', 'population': 16770570, 'cases': 9764, 'deaths': 194, 'tests': 105443}
Kazakhstan: {'continent': 'Asia', 'population': 18791918, 'cases': 83122, 'deaths': 585, 'tests': 2064778}
Azerbaijan: {'continent': 'Asia', 'population': 10145499, 'cases': 30446, 'deaths': 423, 'tests': 690386}
Cambodia: {'continent': 'Asia', 'population': 16733787, 'cases': 225, 'deaths': 0, 'tests': 58499}
Palestine: {'continent': 'Asia', 'population': 5108767, 'cases': 10621, 'deaths': 77, 'tests': 155355}
