<class 'dict'>
COUNTRY                   CONTINENT            POPULATION      TOTAL CASES     TOTAL DEATH     TOTAL TESTS    
China                     Asia                 1439323776      83750           4634            90410000       
Italy                     Europe               60455955        245590          35097           6468375        
Spain                     Europe               46755958        319501          28432           6320836        
USA                       North-America        331124024       4224121         148104          52230220       
Germany                   Europe               83801039        205879          9193            7418812        
Iran                      Asia                 84056501        286523          15289           2278384        
France                    Europe               65282797        180528          30192           2982302        
S-Korea                   Asia                 51272050        13979           298             1510327        
Switzerland               Europe               8658535         34154           1977            753333         
UK                        Europe               67908416        297914          45677           14291673       
Netherlands               Europe               17137309        52595           6139            851885         
Austria                   Europe               9009615         20214           711             833841         
Belgium                   Europe               11592814        64847           9812            1514046        
Norway                    Europe               5423851         9088            255             420528         
Sweden                    Europe               10103191        78763           5676            751213         
Canada                    North-America        37762377        113040          8878            3697322        
Denmark                   Europe               5793501         13438           613             1411757        
Portugal                  Europe               10194725        49692           1712            1512972        
Malaysia                  Asia                 32390510        8861            123             925188         
Brazil                    South-America        212652984       2303661         84440           4911063        
Australia                 Oceania              25517551        13595           139             3787545        
Japan                     Asia                 126451657       27029           990             688036         
Czechia                   Europe               10710262        14924           368             650650         
Turkey                    Asia                 84393636        224252          5580            4489360        
Israel                    Asia                 9197590         59475           448             1597269        
Ireland                   Europe               4941091         25845           1763            592202         
Diamond-Princess-         None                 0               712             11              0              
Luxembourg                Europe               626562          6056            112             387437         
Pakistan                  Asia                 221131515       270400          5763            1821296        
Chile                     South-America        19126244        341304          8838            1485711        
Poland                    Europe               37843881        42038           1655            2068983        
Ecuador                   South-America        17658570        78148           5439            216974         
Greece                    Europe               10419611        4135            201             436510         
Finland                   Europe               5541276         7380            329             330561         
Qatar                     Asia                 2807805         108638          164             464674         
Iceland                   Europe               341381          1843            10              120734         
Indonesia                 Asia                 273697796       95418           4665            1310924        
Singapore                 Asia                 5853174         49375           27              1170049        
Thailand                  Asia                 69811213        3279            58              685316         
Saudi-Arabia              Asia                 34845166        262772          2672            2946928        
Slovenia                  Europe               2078957         2052            115             126122         
Romania                   Europe               19228905        42394           2150            1053656        
India                     Asia                 1380826432      1337022         31406           15428170       
Peru                      South-America        32997490        371096          17654           2158770        
Bahrain                   Asia                 1704393         37996           136             760733         
Philippines               Asia                 109666924       76444           1879            1272317        
Russia                    Europe               145938538       800849          13046           26300652       
Estonia                   Europe               1326593         2028            69              116332         
Egypt                     Africa               102437302       90413           4480            135000         
Hong-Kong                 Asia                 7500718         2373            16              524969         
South-Africa              Africa               59352965        421996          6343            2684488        
Lebanon                   Asia                 6823384         3407            46              244448         
Iraq                      Asia                 40271416        104711          4212            879399         
Croatia                   Europe               4103540         4715            128             109358         
Mexico                    North-America        129014376       370712          41908           879608         
Panama                    North-America        4318682         56817           1209            197605         
Colombia                  South-America        50914048        226373          7688            1320935        
Slovakia                  Europe               5459814         2118            28              250433         
Kuwait                    Asia                 4274241         62625           425             479411         
Serbia                    Europe               8735005         22852           518             601984         
Bulgaria                  Europe               6944986         9853            329             227668         
San-Marino                Europe               33936           699             42              5729           
Armenia                   Asia                 2963600         36613           692             153814         
Argentina                 South-America        45221036        148027          2722            609262         
Taiwan                    Asia                 23819555        458             7               80270          
UAE                       Asia                 9897509         58249           343             4724277        
Algeria                   Africa               43895750        26159           1136            0              
Latvia                    Europe               1884729         1205            31              188485         
Costa-Rica                North-America        5096952         13669           87              74375          
Dominican-Republic        North-America        10854490        59077           1036            222586         
Uruguay                   South-America        3474464         1141            34              97472          
Hungary                   Europe               9658719         4398            596             319854         
Jordan                    Asia                 10209266        1146            11              550656         
Lithuania                 Europe               2719563         1986            80              497245         
Morocco                   Africa               36936629        18834           299             1105271        
Vietnam                   Asia                 97392003        413             0               275000         
Bosnia-and-Herzegovina    Europe               3279426         9767            280             128933         
Faeroe-Islands            Europe               48875           191             0               31481          
Andorra                   Europe               77273           897             52              3750           
North-Macedonia           Europe               2083368         9797            451             92550          
Cyprus                    Asia                 1207903         1047            19              190921         
Brunei                    Asia                 437722          141             3               37058          
Moldova                   Europe               4033340         22483           726             128076         
Sri-Lanka                 Asia                 21418936        2764            11              143673         
Albania                   Europe               2877590         4570            128             33105          
Belarus                   Europe               9449119         66846           524             1230684        
Malta                     Europe               441618          686             9               117840         
Venezuela                 South-America        28430568        13613           129             1470678        
Burkina-Faso              Africa               20932845        1075            53              0              
Tunisia                   Africa               11826073        1425            50              87861          
Guadeloupe                North-America        400127          195             14              13571          
Senegal                   Africa               16766941        9422            182             101678         
Kazakhstan                Asia                 18790078        78486           585             1867907        
Azerbaijan                Asia                 10144751        29312           400             667819         
Cambodia                  Asia                 16732523        202             0               56126          
Palestine                 Asia                 5107792         10093           70              155355         
New-Zealand               Oceania              5002100         1556            22              451616         
Oman                      Asia                 5113463         73791           359             290726         
Georgia                   Asia                 3988660         1104            16              187139         
Trinidad-and-Tobago       North-America        1399777         142             8               6328           
Ukraine                   Europe               43715855        62823           1571            937006         
R&eacute;union            Africa               895708          654             3               35419          
Uzbekistan                Asia                 33497465        19360           106             1377915        
Cameroon                  Africa               26580835        16708           385             145000         
Martinique                North-America        375250          262             15              12227          
Liechtenstein             Europe               38133           86              1               900            
Channel-Islands           Europe               173961          584             47              30721          
Bangladesh                Asia                 164788688       218658          2836            1091034        
Afghanistan               Asia                 38975829        35981           1225            85970          
Honduras                  North-America        9913673         36902           1011            78825          
DRC                       Africa               89697561        8767            201             0              
Nigeria                   Africa               206396274       38948           833             251893         
Cuba                      North-America        11326162        2469            87              237819         
Ghana                     Africa               31108623        30366           153             361542         
Puerto-Rico               None                 0               39              2               0              
Jamaica                   North-America        2961985         821             10              33762          
Bolivia                   South-America        11682367        65252           2407            142168         
Guyana                    South-America        786791          351             19              3975           
Paraguay                  South-America        7137500         4113            36              112039         
Macao                     Asia                 649709          46              0               4071           
Monaco                    Europe               39259           116             4               38209          
French-Guiana             South-America        299088          7251            41              35701          
Guatemala                 North-America        17934204        43283           1669            135434         
Rwanda                    Africa               12968348        1710            5               231186         
Montenegro                Europe               628071          2569            40              31966          
Togo                      Africa               8288609         828             16              39356          
French-Polynesia          Oceania              280894          62              0               4649           
Guam                      None                 0               32              1               0              
Mauritius                 Africa               1271904         344             10              205285         
Barbados                  North-America        287398          106             7               10034          
Ivory-Coast               Africa               26412888        15253           94              89920          
Kyrgyzstan                Asia                 6530358         31247           1211            262894         
Maldives                  Asia                 541084          3175            15              70845          
Mayotte                   Africa               273166          2862            38              13000          
Gibraltar                 Europe               33690           184             0               19281          
Mongolia                  Asia                 3281323         288             0               32049          
Ethiopia                  Africa               115114480       12693           200             364322         
Kenya                     Africa               53835749        16268           274             261027         
Seychelles                Africa               98385           114             0               0              
Equatorial-Guinea         Africa               1405229         3071            51              16000          
